depth, banks, totalDelay, ffDelay, actualDelay
256, 1, 0.0879, 0.0439, 0.044
256, 2, 0.0879, 0.0366, 0.0513
256, 4, 0.0813, 0.0400, 0.0413
256, 8, 0.0880, 0.0405, 0.0475
256, 16, 0.0838, 0.0364, 0.0474
256, 32, 0.0849, 0.0329, 0.052
512, 1, 0.0815, 0.0408, 0.0407
512, 2, 0.0796, 0.0389, 0.0407
512, 4, 0.0890, 0.0369, 0.0521
512, 8, 0.0853, 0.0385, 0.0468
512, 16, 0.0902, 0.0393, 0.0509
512, 32, 0.0836, 0.0360, 0.0476
1024, 1, 0.0835, 0.0387, 0.0448
1024, 2, 0.0835, 0.0387, 0.0448
1024, 4, 0.0884, 0.0411, 0.0473
1024, 8, 0.0888, 0.0470, 0.0418
1024, 16, 0.0918, 0.0412, 0.0506
1024, 32, 0.0883, 0.0447, 0.0436
2048, 1, 0.0876, 0.0472, 0.0404
2048, 2, 0.0857, 0.0367, 0.049
2048, 4, 0.0879, 0.0401, 0.0478
2048, 8, 0.0880, 0.0409, 0.0471
2048, 16, 0.0959, 0.0459, 0.05
2048, 32, 0.0938, 0.0384, 0.0554
4096, 1, 0.0911, 0.0475, 0.0436
4096, 2, 0.0911, 0.0475, 0.0436
4096, 4, 0.0985, 0.0405, 0.058
4096, 8, 0.0931, 0.0378, 0.0553
4096, 16, 0.0973, 0.0455, 0.0518
4096, 32, 0.0877, 0.0418, 0.0459
8192, 1, 0.0923, 0.0397, 0.0526
8192, 2, 0.0926, 0.0419, 0.0507
8192, 4, 0.0964, 0.0404, 0.056
8192, 8, 0.0979, 0.0495, 0.0484
8192, 16, 0.0959, 0.0414, 0.0545
8192, 32, 0.0912, 0.0434, 0.0478
