w, v, ins, outs, totalDelay, ffDelay, actualDelay
1, 1, 10, 10, 0.0928, 0.0460, 0.0468
1, 1, 12, 12, 0.0935, 0.0434, 0.0501
1, 1, 16, 16, 0.1075, 0.0574, 0.0501
1, 1, 6, 6, 0.0748, 0.0386, 0.0362
1, 1, 8, 8, 0.0970, 0.0431, 0.0539
32, 16, 10, 10, 0.1841, 0.0420, 0.1421
32, 16, 12, 12, 0.1839, 0.0391, 0.1448
32, 16, 16, 16, 0.1749, 0.0403, 0.1346
32, 16, 4, 4, 0.1294, 0.0549, 0.0745
32, 16, 5, 5, 0.1474, 0.0376, 0.1098
32, 16, 6, 6, 0.1582, 0.0456, 0.1126
32, 16, 7, 7, 0.1539, 0.0406, 0.1133
32, 16, 8, 8, 0.1506, 0.0391, 0.1115
